Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Labels),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Text-level),Custom field (Time stamp),Custom field (Time stamp),Custom field (Total forms),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
"CA17-If the product has a value between 100 and 200, display",NC-89,10397,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Highest,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:52 PM,03/Jan/23 4:52 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,,,,,Nếu có sản phầm có giá trị từ 100000 đến 200000 thì hiển thị kết quả,,,,,,,,,NC-18,,,,Nếu có sản phầm có giá trị từ 100000 đến 200000 thì hiển thị kết quả,,,,,,0|i00293:,,NC Sprint 1,,,,,,,,Unit,,"Step 1: Truy cập vào đường link để test thử: “https://shop.highlandscoffee.com.vn/collections/all“.

step 2: Bấm lọc kết quả từ và chờ.

step 3: Sau đó chờ kết quả phản hồi từ hệ thống.",,Pass,,,,,,,,To Do
IP26-customer can sort by product decrease,NC-88,10396,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:52 PM,03/Jan/23 4:53 PM,03/Jan/23 5:04 PM,,,0,Sortby,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,NC-90,,,NC-87,,,,successfully,,,,,,,,,NC-80,,,,can sort by decrease,,,,,,0|i0028v:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : click to fill decrease
step 2: can see all of it",,Pass,,,,,,,,To Do
IP25-customer can sort by product increase,NC-87,10395,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:49 PM,03/Jan/23 4:59 PM,03/Jan/23 5:04 PM,,,0,Sortby,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,NC-88,NC-99,,NC-86,,,,successfully,,,,,,,,,NC-80,,,,can sort by increase,,,,,,0|i0028n:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : click to fill increase
step 2: can see all of it",,Pass,,,,,,,,To Do
IP24-Customer can see all of link when click to search fields and then can link to it,NC-86,10394,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:42 PM,03/Jan/23 4:58 PM,03/Jan/23 4:47 PM,,,0,Search,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,NC-87,NC-97,,NC-83,,,,successfully,,,,,,,,,NC-79,,,,can link to it,,,,,,0|i0028f:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : click to ""tìm kiếm sản phẩm"" and dont fill any thing in it
step 2: can see all of links and can click it",,Pass,,,,,,,,To Do
SC23-Customer can search any thing in  website,NC-85,10393,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:39 PM,03/Jan/23 4:42 PM,03/Jan/23 4:46 PM,,,0,Link,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-83,,,,successfully,,,,,,,,,NC-79,,,,can find product in match,,,,,,0|i00287:,,NC Sprint 3,,,,,,,,System,,"step 1 : click to ""tìm kiếm sản phẩm""  section link  in webpage 
step 2: wait result in match",,Pass,,,,,,,,To Do
SC22-Customer can link  any sections in  website,NC-84,10392,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:38 PM,03/Jan/23 4:43 PM,03/Jan/23 4:46 PM,,,0,Link,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-73,,,,successfully,,,,,,,,,NC-65,,,,can link to any section in webpage,,,,,,0|i0027z:,,NC Sprint 3,,,,,,,,System,,"step 1 : click any section link  in webpage 
step 2: wait result",,Pass,,,,,,,,To Do
IP23-Customer can search any thing in  website,NC-83,10391,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:38 PM,03/Jan/23 4:47 PM,03/Jan/23 4:46 PM,,,0,Search,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,NC-85,NC-86,,NC-73,,,,successfully,,,,,,,,,NC-79,,,,can find product in match,,,,,,0|i0027r:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : click to ""tìm kiếm sản phẩm""  section link  in webpage 
step 2: wait result in match",,Pass,,,,,,,,To Do
SC21-Customer link  the social network website,NC-82,10390,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:38 PM,03/Jan/23 4:43 PM,03/Jan/23 5:04 PM,,,0,Link,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-67,,,,successfully,,,,,,,,,NC-65,,,,can link to any other page in webpage,,,,,,0|i0027j:,,NC Sprint 3,,,,,,,,System,,"step 1 : scroll down webpage  at bottom corner
step 2: click any icon to link 
step 3: wait result",,Pass,,,,,,,,To Do
SC20-Customer can chat the website admin,NC-81,10389,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:37 PM,03/Jan/23 4:43 PM,03/Jan/23 5:04 PM,,,0,Contact,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-63,,,,successfully,,,,,,,,,NC-56,,,,can contact with admin,,,,,,0|i0027b:,,NC Sprint 3,,,,,,,,System,,"step 1 : click chat at right corner
step 2: contact with them",,Pass,,,,,,,,To Do
Sort by,NC-80,10388,,Epic,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,03/Jan/23 4:37 PM,03/Jan/23 4:59 PM,03/Jan/23 5:04 PM,,,0,,,,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Sort by,To Do,,,,purple,,,,0|i00273:,,,,,,,,,,,,,,,,,,,,,,To Do
Search,NC-79,10387,,Epic,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Vinh Tran,62a1485c9f5d480069ca30e8,Vinh Tran,62a1485c9f5d480069ca30e8,03/Jan/23 4:37 PM,03/Jan/23 4:58 PM,03/Jan/23 5:04 PM,,,0,,,,Vinh Tran,62a1485c9f5d480069ca30e8,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,Search,To Do,,,,purple,,,,0|i0026v:,,,,,,,,,,,,,,,,,,,,,,To Do
SC19-Customer can call the website admin,NC-78,10386,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:36 PM,03/Jan/23 4:43 PM,03/Jan/23 5:04 PM,,,0,Contact,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-57,,,,successfully,,,,,,,,,NC-56,,,,can contact with admin,,,,,,0|i0026n:,,NC Sprint 3,,,,,,,,System,,"step 1 : click call at right corner
step 2: contact with them",,Pass,,,,,,,,To Do
"SC18-when add any product(include quantity) , at corner of screen that cart will increase as quantitty added",NC-77,10385,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:36 PM,03/Jan/23 4:43 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-53,,,,successfully,,,,,,,,,NC-18,,,,see quantity at right corner when added any products (include quantity),,,,,,0|i0026f:,,NC Sprint 3,,,,,,,,System,,"step 1 : click ""mua "" any product (include click ""+"" or ""-"" ) 
step 2: see cart at right corner when added",,Pass,,,,,,,,To Do
"SC17-when add any product, system will notice ""Đã thêm vào giỏ hàng thành công""",NC-76,10384,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:35 PM,03/Jan/23 4:43 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-50,,,,successfully,,,,,,,,,NC-18,,,,see notification at right corner when added any products,,,,,,0|i00267:,,NC Sprint 3,,,,,,,,System,,"step 1 : click ""mua "" any product 
step 2: see right corner when added",,Pass,,,,,,,,To Do
"SC16-Go to cart, when cart is empty, total is 0",NC-75,10383,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:34 PM,03/Jan/23 4:43 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-49,,,,successfully,,,,,,,,,NC-18,,,,total is 0 when no products,,,,,,0|i0025z:,,NC Sprint 3,,,,,,,,System,,"step 1 : go to cart
step 2: see total",,Pass,,,,,,,,To Do
"SC15-Go to cart, when delete more product with more than 1 quantity and see total",NC-74,10382,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:33 PM,03/Jan/23 4:43 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-48,,,,successfully,,,,,,,,,NC-18,,,,total decrease when delete more product with more quantity,,,,,,0|i0025r:,,NC Sprint 3,,,,,,,,System,,"step 1 : go to cart
step 2 :delete more products with more than quantity
step 3: see total",,Pass,,,,,,,,To Do
IP22-Customer can link  any sections in  website,NC-73,10381,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:33 PM,03/Jan/23 4:47 PM,03/Jan/23 4:47 PM,,,0,Link,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,NC-83,NC-84,,NC-67,,,,successfully,,,,,,,,,NC-65,,,,can link to any section in webpage,,,,,,0|i0025j:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : click any section link  in webpage 
step 2: wait result",,Pass,,,,,,,,To Do
"SC14-Go to cart, when add more product with  more than 1 quantity and see total",NC-72,10380,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:32 PM,03/Jan/23 4:44 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-46,,,,successfully,,,,,,,,,NC-18,,,,total increase when add more product with more quantity,,,,,,0|i0025b:,,NC Sprint 3,,,,,,,,System,,"step 1 : go to cart
step 2 :add more products with per one quantity
step 3: see total",,Pass,,,,,,,,To Do
"SC13-Go to cart, when delete more product and per product with 1 quantity and see total",NC-71,10379,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:31 PM,03/Jan/23 4:44 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-44,,,,successfully,,,,,,,,,NC-18,,,,total decrease when delete per product with 1 quantity,,,,,,0|i00253:,,NC Sprint 3,,,,,,,,System,,"step 1 : go to cart
step 2 :delete more products with per one quantity
step 3: see total",,Pass,,,,,,,,To Do
"SC12-Go to cart, when chose more product and per product with 1 quantity",NC-70,10378,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:31 PM,03/Jan/23 4:44 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-42,,,,successfully,,,,,,,,,NC-18,,,,total increase when add per product with 1 quantity,,,,,,0|i0024v:,,NC Sprint 3,,,,,,,,System,,"step 1 : go to cart
step 2 : chose more products with one quantity
step 3: see total",,Pass,,,,,,,,To Do
"SC11-Go to cart, when chose 1 product and decrease quantity, can total",NC-69,10377,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:30 PM,03/Jan/23 4:44 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-41,,,,successfully,,,,,,,,,NC-18,,,,total increase when quantity decrease,,,,,,0|i0024n:,,NC Sprint 3,,,,,,,,System,,"step 1 : go to cart
step 2 : decrease quantity
step 3: see total",,Pass,,,,,,,,To Do
"SC10-Go to cart, when chose 1 product and increase quantity, can total",NC-68,10376,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:29 PM,03/Jan/23 4:44 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-38,,,,successfully,,,,,,,,,NC-18,,,,total increase when quantity increase,,,,,,0|i0024f:,,NC Sprint 3,,,,,,,,System,,"step 1 : go to cart
step 2 : increase quantity
step 3: see total",,Pass,,,,,,,,To Do
IP21-Customer link  the social network website,NC-67,10375,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Triều Đỗ,62a15c77c97b1b00687c47aa,Triều Đỗ,62a15c77c97b1b00687c47aa,03/Jan/23 4:28 PM,03/Jan/23 4:47 PM,03/Jan/23 4:47 PM,,,0,Link,,,Triều Đỗ,62a15c77c97b1b00687c47aa,,,,,,,,,NC-73,NC-82,,NC-63,,,,successfully,,,,,,,,,NC-65,,,,can link to any other page in webpage,,,,,,0|i00247:,,NC Sprint 2,,,,,,,,Integratiom,,"step 1 : scroll down webpage  at bottom corner
step 2: click any icon to link 
step 3: wait result",,Pass,,,,,,,,To Do
"SC9-customer can click ""x"" button in cart to delete one product",NC-66,10374,,Story,To Do,NC,N6_CD21CT3,software,Vinh Tran,62a1485c9f5d480069ca30e8,,Medium,,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,Nguyễn Minh Trường,62a15e664e1a640070c474b0,03/Jan/23 4:28 PM,03/Jan/23 4:44 PM,03/Jan/23 5:04 PM,,,0,Cart,,,Nguyễn Minh Trường,62a15e664e1a640070c474b0,,,,,,,,,,,,NC-36,,,,delete successfully,,,,,,,,,NC-18,,,,can delete permanently ,,,,,,0|i0023z:,,NC Sprint 3,,,,,,,,System,,"step 1: go to cart
step 2: click ""x""
step 3: wait result",,Pass,,,,,,,,To Do
